
1 257
0.1933 0.934597 2.55327
0.202635 0.722058 2.598
0.194528 0.560044 2.54047
0.192302 0.372598 2.54
0.0328823 0.923526 2.61255
0.0501091 0.661339 2.68088
0.0218289 0.593549 2.65868
0.0477871 0.38137 2.60105
0.0721248 0.217891 2.55442
0.199837 0.194935 2.53553
0.154012 -0.310347 2.46313
-0.028036 -0.118138 2.55331
-0.0465048 -0.0171333 2.57
-0.0607501 0.103748 2.54893
-0.0749955 0.224629 2.52787
0.337023 -0.129393 2.49796
0.318077 -0.00739714 2.589
0.353753 0.0763872 2.50928
0.34918 0.248243 2.48601
0.201892 -0.415195 2.3825
0.127597 -0.421366 2.39059
0.209392 -0.52623 2.34099
0.135913 -0.536714 2.35719
0.0690335 -0.171855 2.46212
0.226842 -0.136085 2.44966
0.282418 -0.279193 2.45654
0.023638 -0.304753 2.48631
 
2 342
0.194592 0.933627 2.55576
0.204793 0.714157 2.59473
0.193579 0.56594 2.54195
0.193868 0.373645 2.5402
0.0289514 0.912612 2.65304
0.0502735 0.661104 2.68005
0.0260203 0.565245 2.65203
0.0462 0.370728 2.59814
0.0743733 0.220489 2.5551
0.207035 0.206235 2.5381
0.157978 -0.310022 2.46142
-0.0239771 -0.122108 2.5502
-0.019581 -0.00734286 2.57
-0.0586832 0.0834188 2.55165
-0.0575055 0.209777 2.52406
0.341098 -0.126825 2.50133
0.320602 -0.00491333 2.57
0.359391 0.0741208 2.51735
0.354922 0.243771 2.4936
0.205175 -0.41197 2.37752
0.131691 -0.424511 2.38891
0.2129 -0.524446 2.33851
0.142048 -0.5344 2.35486
0.0732455 -0.168407 2.46108
0.230883 -0.137667 2.44756
0.282749 -0.276728 2.45487
0.0308958 -0.302152 2.48145
 
3 418
0.193499 0.929426 2.56466
0.20352 0.721443 2.59778
0.196231 0.575529 2.54157
0.197028 0.372485 2.53734
0.0270845 0.909457 2.66105
0.0492861 0.675982 2.67973
0.0274695 0.592128 2.65773
0.0484054 0.371957 2.59856
0.0768547 0.216784 2.55326
0.209451 0.20264 2.53634
0.166412 -0.310303 2.45961
-0.0216697 -0.125158 2.54774
-0.042943 -0.0147182 2.5795
-0.0516037 0.0906784 2.5473
-0.0584476 0.202555 2.51949
0.347457 -0.129226 2.50298
0.329215 -0.01354 2.57941
0.365163 0.0779076 2.52905
0.363654 0.240333 2.50879
0.21411 -0.412769 2.37265
0.140227 -0.427084 2.38397
0.217905 -0.529825 2.33613
0.148974 -0.531016 2.35225
0.0789597 -0.170628 2.46011
0.234356 -0.134733 2.44469
0.285897 -0.274037 2.45174
0.0380016 -0.307754 2.48236
 
4 497
0.194131 0.928817 2.569
0.203974 0.720815 2.59441
0.198408 0.574117 2.53942
0.199427 0.37188 2.53633
0.018856 0.902677 2.67916
0.0553576 0.71051 2.68518
0.0261912 0.605586 2.66047
0.0515634 0.370898 2.59453
0.0794435 0.218118 2.55136
0.209791 0.200943 2.53354
0.179414 -0.307046 2.45472
-0.0146108 -0.137746 2.54171
-0.0596736 -0.0455661 2.5843
-0.0454604 0.0983423 2.54585
-0.0444556 0.221869 2.51324
0.355741 -0.127412 2.50895
0.338496 -0.00556796 2.58416
0.3713 0.081032 2.54093
0.372492 0.240907 2.53122
0.225208 -0.40998 2.36946
0.15074 -0.422929 2.38034
0.230198 -0.527195 2.33597
0.160271 -0.527588 2.34992
0.0883042 -0.165841 2.45863
0.243191 -0.129509 2.44386
0.295197 -0.270667 2.4504
0.0470878 -0.309851 2.48107
 
5 576
0.194561 0.932493 2.56012
0.204035 0.72119 2.59304
0.201163 0.566867 2.53428
0.2014 0.371205 2.53442
0.0366783 0.90729 2.66498
0.056393 0.721645 2.68512
0.0322478 0.594876 2.65561
0.0545855 0.368616 2.59181
0.0801102 0.215526 2.54852
0.209119 0.200938 2.53171
0.188331 -0.305201 2.45223
-0.0110924 -0.142934 2.53962
-0.0384075 -0.0435768 2.56772
-0.0452191 0.073339 2.54419
-0.0475211 0.206038 2.5166
0.360439 -0.128971 2.51079
0.338357 -0.0165456 2.60656
0.375659 0.0799089 2.54849
0.377268 0.23807 2.5467
0.229833 -0.40801 2.36705
0.15635 -0.421052 2.379
0.236429 -0.525337 2.33589
0.16508 -0.526508 2.34948
0.0920044 -0.163827 2.45871
0.246304 -0.125046 2.44307
0.302412 -0.269318 2.45034
0.0525516 -0.310978 2.48055
 
6 656
0.194039 0.9402 2.53966
0.20623 0.713789 2.59207
0.202178 0.555773 2.53089
0.205116 0.358185 2.52966
0.0428691 0.912816 2.66713
0.0567322 0.730847 2.67966
0.0429543 0.576293 2.63172
0.0573554 0.369587 2.57573
0.0799654 0.221891 2.54475
0.213432 0.196951 2.52616
0.204661 -0.306176 2.45397
-0.000115683 -0.140135 2.54273
-0.00831267 -0.00865692 2.54985
-0.0386659 0.0455709 2.54476
-0.0576608 0.1525 2.52788
0.377297 -0.126758 2.52059
0.363323 -0.0195856 2.61787
0.390318 0.0823584 2.57441
0.390557 0.241918 2.58556
0.246263 -0.404465 2.36907
0.174194 -0.422187 2.37458
0.253289 -0.523988 2.33527
0.181261 -0.52607 2.34731
0.105232 -0.167313 2.45577
0.256184 -0.122959 2.44192
0.316447 -0.265856 2.44918
0.0702872 -0.307041 2.47708
 
7 741
0.195344 0.929876 2.56554
0.206456 0.72065 2.59564
0.202354 0.551091 2.53
0.207048 0.351928 2.52715
0.0330444 0.903688 2.66661
0.0550961 0.737431 2.67626
0.04871 0.573689 2.62211
0.0602239 0.376416 2.56868
0.0830424 0.224108 2.54202
0.216481 0.193747 2.52235
0.215044 -0.306218 2.45494
0.00650426 -0.14235 2.54404
0.00939577 -0.000639656 2.55032
-0.0346177 0.0319114 2.54477
-0.0678206 0.106745 2.5336
0.385986 -0.125455 2.5259
0.37593 -0.0186165 2.62358
0.399464 0.0791764 2.58847
0.395738 0.241309 2.60625
0.255944 -0.403342 2.37034
0.184338 -0.421327 2.37387
0.26208 -0.524975 2.33494
0.190253 -0.525109 2.34586
0.112271 -0.170226 2.45428
0.261306 -0.122078 2.4409
0.32212 -0.261464 2.44739
0.0790858 -0.307434 2.47597
 
8 822
0.193122 0.931585 2.56366
0.206664 0.714847 2.59551
0.198667 0.564853 2.53531
0.213786 0.350582 2.52195
0.0321443 0.900397 2.67786
0.054641 0.732708 2.66846
0.0541358 0.557091 2.58973
0.0676658 0.374991 2.5494
0.0815177 0.228759 2.53886
0.21996 0.197669 2.52133
0.224621 -0.305158 2.45511
0.00802511 -0.14434 2.55113
-0.0158305 -0.0136976 2.56006
-0.0310493 0.0283164 2.54521
-0.0654331 0.126105 2.5272
0.397118 -0.127843 2.5266
0.380819 -0.0180599 2.61646
0.414283 0.0636455 2.5948
0.410163 0.228865 2.61933
0.26827 -0.405327 2.37021
0.196583 -0.414339 2.37715
0.272332 -0.523545 2.33483
0.201823 -0.521482 2.3449
0.118315 -0.171801 2.45735
0.270254 -0.123487 2.44305
0.332801 -0.261812 2.45009
0.0894051 -0.308895 2.47972
 
9 900
0.194129 0.929172 2.56431
0.208637 0.718896 2.59666
0.199892 0.554991 2.53521
0.221413 0.352024 2.51755
0.0301398 0.920185 2.7026
0.0551203 0.726194 2.66442
0.0543917 0.551458 2.57517
0.0670321 0.368215 2.54157
0.0839683 0.205305 2.52439
0.220616 0.198979 2.51987
0.242991 -0.304271 2.46078
0.0125723 -0.146268 2.56683
-0.0262606 -0.012995 2.57448
-0.0368758 0.0100464 2.56318
-0.0219059 0.187988 2.49355
0.418684 -0.121235 2.52835
0.432453 0.00185131 2.58387
0.443804 0.0856401 2.58554
0.434 0.19871 2.60619
0.286328 -0.408709 2.37531
0.213133 -0.413541 2.38453
0.286705 -0.526484 2.33977
0.219464 -0.518348 2.34552
0.131339 -0.174027 2.46417
0.288126 -0.128972 2.44962
0.344455 -0.257699 2.45597
0.10645 -0.311063 2.48788
 
10 980
0.204518 0.922071 2.59158
0.2094 0.730471 2.60165
0.203354 0.548943 2.53318
0.226131 0.345058 2.51578
0.0276466 0.926152 2.7136
0.0507419 0.705155 2.66798
0.0550844 0.540683 2.5542
0.0661073 0.359973 2.53088
0.0831739 0.182747 2.50803
0.214273 0.200888 2.51789
0.25611 -0.304262 2.46828
0.0062871 -0.119542 2.57974
-0.0509746 0.063281 2.57227
-0.0368758 0.0100464 2.56318
-0.0219059 0.187988 2.49355
0.436089 -0.118429 2.52458
